item_id,benchmark,oldest_model_acc,newest_model_acc,drift_score,ceiling_effect,recommendation
halu_1088,halu_eval,0.0,0.0,0.0,False,Stable
halu_1468,halu_eval,0.0,0.0,0.0,False,Stable
halu_1554,halu_eval,0.0,1.0,1.0,False,Monitor
halu_1562,halu_eval,1.0,0.0,-1.0,False,Monitor
halu_1602,halu_eval,0.0,0.0,0.0,False,Stable
halu_1691,halu_eval,0.0,1.0,1.0,False,Monitor
halu_1742,halu_eval,1.0,0.0,-1.0,False,Monitor
halu_1864,halu_eval,0.0,0.0,0.0,False,Stable
halu_2059,halu_eval,0.0,1.0,1.0,False,Monitor
halu_2128,halu_eval,0.0,0.0,0.0,False,Stable
halu_2304,halu_eval,0.0,0.0,0.0,False,Stable
halu_2347,halu_eval,0.0,1.0,1.0,False,Monitor
halu_2395,halu_eval,0.0,1.0,1.0,False,Monitor
halu_2592,halu_eval,0.0,1.0,1.0,False,Monitor
halu_29,halu_eval,0.0,0.0,0.0,False,Stable
halu_2988,halu_eval,0.0,0.0,0.0,False,Stable
halu_3091,halu_eval,0.0,0.0,0.0,False,Stable
halu_313,halu_eval,0.0,0.0,0.0,False,Stable
halu_3152,halu_eval,0.0,0.0,0.0,False,Stable
halu_3233,halu_eval,1.0,0.0,-1.0,False,Monitor
halu_3261,halu_eval,0.0,0.0,0.0,False,Stable
halu_3287,halu_eval,0.0,0.0,0.0,False,Stable
halu_340,halu_eval,0.0,1.0,1.0,False,Monitor
halu_3405,halu_eval,0.0,0.0,0.0,False,Stable
halu_3466,halu_eval,0.0,0.0,0.0,False,Stable
halu_3768,halu_eval,0.0,1.0,1.0,False,Monitor
halu_3870,halu_eval,0.0,0.0,0.0,False,Stable
halu_4011,halu_eval,0.0,1.0,1.0,False,Monitor
halu_4051,halu_eval,0.0,0.0,0.0,False,Stable
halu_4073,halu_eval,0.0,0.0,0.0,False,Stable
halu_4100,halu_eval,0.0,0.0,0.0,False,Stable
halu_412,halu_eval,0.0,0.0,0.0,False,Stable
halu_4121,halu_eval,0.0,1.0,1.0,False,Monitor
halu_4195,halu_eval,1.0,1.0,0.0,False,Stable
halu_4200,halu_eval,0.0,0.0,0.0,False,Stable
halu_4207,halu_eval,0.0,0.0,0.0,False,Stable
halu_4238,halu_eval,0.0,0.0,0.0,False,Stable
halu_4304,halu_eval,0.0,0.0,0.0,False,Stable
halu_4317,halu_eval,0.0,0.0,0.0,False,Stable
halu_4334,halu_eval,0.0,0.0,0.0,False,Stable
halu_4371,halu_eval,0.0,1.0,1.0,False,Monitor
halu_4629,halu_eval,0.0,0.0,0.0,False,Stable
halu_4773,halu_eval,0.0,1.0,1.0,False,Monitor
halu_4952,halu_eval,0.0,0.0,0.0,False,Stable
halu_5,halu_eval,0.0,0.0,0.0,False,Stable
halu_5119,halu_eval,0.0,1.0,1.0,False,Monitor
halu_5151,halu_eval,0.0,0.0,0.0,False,Stable
halu_516,halu_eval,0.0,0.0,0.0,False,Stable
halu_5439,halu_eval,0.0,0.0,0.0,False,Stable
halu_5561,halu_eval,0.0,1.0,1.0,False,Monitor
halu_569,halu_eval,0.0,1.0,1.0,False,Monitor
halu_5693,halu_eval,0.0,0.0,0.0,False,Stable
halu_575,halu_eval,1.0,0.0,-1.0,False,Monitor
halu_5826,halu_eval,0.0,0.0,0.0,False,Stable
halu_5869,halu_eval,0.0,0.0,0.0,False,Stable
halu_6004,halu_eval,0.0,1.0,1.0,False,Monitor
halu_6028,halu_eval,0.0,1.0,1.0,False,Monitor
halu_6039,halu_eval,0.0,0.0,0.0,False,Stable
halu_6041,halu_eval,0.0,0.0,0.0,False,Stable
halu_6234,halu_eval,0.0,0.0,0.0,False,Stable
halu_6293,halu_eval,0.0,1.0,1.0,False,Monitor
halu_6355,halu_eval,0.0,0.0,0.0,False,Stable
halu_6357,halu_eval,0.0,1.0,1.0,False,Monitor
halu_6456,halu_eval,0.0,1.0,1.0,False,Monitor
halu_6646,halu_eval,0.0,0.0,0.0,False,Stable
halu_6843,halu_eval,0.0,1.0,1.0,False,Monitor
halu_6932,halu_eval,0.0,0.0,0.0,False,Stable
halu_701,halu_eval,0.0,0.0,0.0,False,Stable
halu_7035,halu_eval,0.0,1.0,1.0,False,Monitor
halu_7160,halu_eval,0.0,1.0,1.0,False,Monitor
halu_7231,halu_eval,0.0,1.0,1.0,False,Monitor
halu_7329,halu_eval,0.0,0.0,0.0,False,Stable
halu_7360,halu_eval,1.0,0.0,-1.0,False,Monitor
halu_7682,halu_eval,1.0,0.0,-1.0,False,Monitor
halu_7688,halu_eval,0.0,1.0,1.0,False,Monitor
halu_7717,halu_eval,0.0,1.0,1.0,False,Monitor
halu_7774,halu_eval,0.0,0.0,0.0,False,Stable
halu_7979,halu_eval,0.0,0.0,0.0,False,Stable
halu_7994,halu_eval,0.0,1.0,1.0,False,Monitor
halu_8012,halu_eval,0.0,0.0,0.0,False,Stable
halu_8032,halu_eval,0.0,1.0,1.0,False,Monitor
halu_8202,halu_eval,0.0,1.0,1.0,False,Monitor
halu_8301,halu_eval,0.0,0.0,0.0,False,Stable
halu_832,halu_eval,0.0,1.0,1.0,False,Monitor
halu_8325,halu_eval,0.0,0.0,0.0,False,Stable
halu_8545,halu_eval,0.0,0.0,0.0,False,Stable
halu_8684,halu_eval,0.0,1.0,1.0,False,Monitor
halu_8924,halu_eval,0.0,1.0,1.0,False,Monitor
halu_893,halu_eval,1.0,0.0,-1.0,False,Monitor
halu_8944,halu_eval,0.0,0.0,0.0,False,Stable
halu_9070,halu_eval,0.0,0.0,0.0,False,Stable
halu_9173,halu_eval,0.0,0.0,0.0,False,Stable
halu_9193,halu_eval,0.0,1.0,1.0,False,Monitor
halu_9324,halu_eval,0.0,0.0,0.0,False,Stable
halu_9329,halu_eval,0.0,0.0,0.0,False,Stable
halu_9362,halu_eval,1.0,1.0,0.0,False,Stable
halu_9601,halu_eval,0.0,1.0,1.0,False,Monitor
halu_9755,halu_eval,0.0,0.0,0.0,False,Stable
halu_9762,halu_eval,0.0,1.0,1.0,False,Monitor
halu_9894,halu_eval,0.0,1.0,1.0,False,Monitor
ragt_0,rag_truth,0.0,1.0,1.0,False,Monitor
ragt_1014,rag_truth,1.0,1.0,0.0,False,Stable
ragt_10512,rag_truth,1.0,0.0,-1.0,False,Monitor
ragt_10574,rag_truth,0.0,0.0,0.0,False,Stable
ragt_10581,rag_truth,1.0,0.0,-1.0,False,Monitor
ragt_10599,rag_truth,0.0,1.0,1.0,False,Monitor
ragt_10615,rag_truth,1.0,1.0,0.0,True,Monitor
ragt_10756,rag_truth,0.0,1.0,1.0,False,Monitor
ragt_10760,rag_truth,1.0,0.0,-1.0,False,Monitor
ragt_10945,rag_truth,1.0,1.0,0.0,True,Monitor
ragt_11087,rag_truth,1.0,1.0,0.0,True,Monitor
ragt_11143,rag_truth,0.0,0.0,0.0,False,Stable
ragt_11159,rag_truth,0.0,1.0,1.0,False,Monitor
ragt_1116,rag_truth,1.0,1.0,0.0,True,Monitor
